School Name,Region,Undergraduate Major,Starting Median Salary,Mid-Career Median Salary,% Change in Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Amherst College,Northeastern,Liberal Arts,54500,107000,96.33027523,43408,84900,162000,142766
Bates College,Northeastern,Liberal Arts,47300,96500,104.0169133,43408,60700,162000,142766
Bowdoin College,Northeastern,Liberal Arts,48100,107000,122.4532225,43408,74600,146000,142766
Bucknell University,Northeastern,Liberal Arts,54100,110000,103.3271719,43408,80600,156000,142766
California Institute of Technology (CIT),California,Engineering,75500,123000,62.91390728,43408,104000,161000,142766
Carleton College,Midwestern,Liberal Arts,47500,103000,116.8421053,43408,69400,141000,142766
Carnegie Mellon University (CMU),Northeastern,Engineering,61800,111000,79.61165049,43408,80100,150000,142766
Colby College,Northeastern,Liberal Arts,46400,85800,84.9137931,43408,63500,129000,142766
Colgate University,Northeastern,Liberal Arts,52800,108000,104.5454545,43408,76700,167000,142766
College of the Holy Cross,Northeastern,Liberal Arts,50200,106000,111.1553785,43408,65600,143000,142766
Colorado College (CC),Western,Liberal Arts,38500,81400,111.4285714,43408,43000,148000,142766
Colorado School of Mines,Western,Engineering,58100,106000,82.44406196,43408,87900,142000,142766
Cooper Union,Northeastern,Engineering,62200,114000,83.27974277,43408,80200,142000,142766
Davidson College,Southern,Liberal Arts,46100,104000,125.5965293,43408,70500,146000,142766
Denison University,Midwestern,Liberal Arts,42000,83500,98.80952381,43408,62100,122000,142766
DePauw University,Midwestern,Liberal Arts,41400,88300,113.2850242,43408,57400,133000,142766
Evergreen State College,Western,Liberal Arts,39500,63900,61.7721519,43408,47200,91600,142766
Fort Lewis College,Western,Liberal Arts,42000,69800,66.19047619,43408,55000,94000,142766
Franklin and Marshall College,Northeastern,Liberal Arts,49100,92800,89.00203666,43408,55800,185000,142766
Georgia Institute of Technology,Southern,Engineering,58300,106000,81.81818182,43408,85200,137000,142766
Gettysburg College,Northeastern,Liberal Arts,44700,85800,91.94630872,43408,66300,132000,142766
Grinnell College,Midwestern,Liberal Arts,42600,76600,79.81220657,43408,65100,116000,142766
Gustavus Adolphus College,Midwestern,Liberal Arts,44500,80600,81.12359551,43408,49300,101000,142766
Hamilton College,Northeastern,Liberal Arts,49200,83700,70.12195122,43408,51900,123000,142766
Harvey Mudd College,California,Engineering,71800,122000,69.91643454,43408,96000,180000,142766
Illinois Institute of Technology (IIT),Midwestern,Engineering,56000,97800,74.64285714,43408,77400,121000,142766
Juniata College,Northeastern,Liberal Arts,41800,78900,88.75598086,43408,67200,110000,142766
Lafayette College,Northeastern,Liberal Arts,53900,107000,98.51576994,43408,79300,144000,142766
Lewis & Clark College,Western,Liberal Arts,38900,72600,86.63239075,43408,53400,104000,142766
Massachusetts Institute of Technology (MIT),Northeastern,Engineering,72200,126000,74.51523546,43408,99200,168000,142766
Middlebury College,Northeastern,Liberal Arts,47700,94200,97.48427673,43408,69100,129000,142766
Moravian College,Northeastern,Liberal Arts,42500,74400,75.05882353,43408,56700,94900,142766
Mount Holyoke College,Northeastern,Liberal Arts,42400,94100,121.9339623,43408,57100,131000,142766
New Mexico Institute of Mining and Technology (New Mexico Tech),Western,Engineering,51000,93400,83.1372549,43408,67400,123000,142766
Oberlin College,Midwestern,Liberal Arts,43400,81600,88.01843318,43408,46400,128000,142766
Occidental College,California,Liberal Arts,51900,105000,102.3121387,43408,54800,157000,142766
Others,Others,Accounting,46000,77100,67.60869565,42200,56100,108000,152000
Others,Others,Aerospace Engineering,57700,101000,75.04332756,64300,82100,127000,161000
Others,Others,Agriculture,42600,71900,68.77934272,36300,52100,96300,150000
Others,Others,Anthropology,36800,61500,67.11956522,33800,45500,89300,138000
Others,Others,Architecture,41600,76800,84.61538462,50600,62200,97000,136000
Others,Others,Art History,35800,64900,81.2849162,28800,42200,87400,125000
Others,Others,Biology,38800,64800,67.01030928,36900,47400,94500,135000
Others,Others,Business Management,43000,72100,67.6744186,38800,51500,102000,147000
Others,Others,Chemical Engineering,63200,107000,69.30379747,71900,87300,143000,194000
Others,Others,Chemistry,42600,79900,87.55868545,45300,60700,108000,148000
Others,Others,Civil Engineering,53900,90500,67.90352505,63400,75100,115000,148000
Others,Others,Communications,38100,70000,83.72703412,37500,49700,98800,143000
Others,Others,Computer Engineering,61400,105000,71.00977199,66100,84100,135000,162000
Others,Others,Computer Science,55900,95500,70.84078712,56000,74900,122000,154000
Others,Others,Construction,53700,88900,65.54934823,56300,68100,118000,171000
Others,Others,Criminal Justice,35000,56300,60.85714286,32200,41600,80700,107000
Others,Others,Drama,35900,56900,58.49582173,36700,41300,79100,153000
Others,Others,Economics,50100,98600,96.80638723,50600,70600,145000,210000
Others,Others,Education,34900,52000,48.99713467,29300,37900,73400,102000
Others,Others,Electrical Engineering,60900,103000,69.12972085,69300,83800,130000,168000
Others,Others,English,38000,64700,70.26315789,33400,44800,93200,133000
Others,Others,Film,37900,68500,80.73878628,33900,45500,100000,136000
Others,Others,Finance,47900,88300,84.34237996,47200,62100,128000,195000
Others,Others,Forestry,39100,62600,60.10230179,41000,49300,78200,111000
Others,Others,Geography,41200,65500,58.98058252,40000,50000,90800,132000
Others,Others,Geology,43500,79500,82.75862069,45000,59600,101000,156000
Others,Others,Graphic Design,35700,59800,67.5070028,36000,45500,80800,112000
Others,Others,Health Care Administration,38800,60600,56.18556701,34600,45600,78800,101000
Others,Others,History,39200,71000,81.12244898,37000,49200,103000,149000
Others,Others,Hospitality & Tourism,37800,57500,52.11640212,35500,43600,81900,124000
Others,Others,Industrial Engineering,57700,94700,64.12478336,57100,72300,132000,173000
Others,Others,Information Technology (IT),49100,74800,52.34215886,44500,56700,96700,129000
Others,Others,Interior Design,36100,53200,47.36842105,35700,42600,72500,107000
Others,Others,International Relations,40900,80900,97.799511,38200,56000,111000,157000
Others,Others,Journalism,35600,66700,87.35955056,38400,48300,97700,145000
Others,Others,Management Information Systems (MIS),49200,82300,67.27642276,45300,60500,108000,146000
Others,Others,Marketing,40800,79600,95.09803922,42100,55600,119000,175000
Others,Others,Math,45400,92400,103.5242291,45200,64200,128000,183000
Others,Others,Mechanical Engineering,57900,93600,61.65803109,63700,76200,120000,163000
Others,Others,Music,35900,55000,53.20334262,26700,40200,88000,134000
Others,Others,Nursing,54200,67000,23.61623616,47600,56400,80900,98300
Others,Others,Nutrition,39900,55300,38.59649123,33900,44500,70500,99200
Others,Others,Philosophy,39900,81200,103.5087719,35500,52800,127000,168000
Others,Others,Physician Assistant,74300,91700,23.41857335,66400,75200,108000,124000
Others,Others,Physics,50300,97300,93.43936382,56000,74200,132000,178000
Others,Others,Political Science,40800,78200,91.66666667,41200,55300,114000,168000
Others,Others,Psychology,35900,60400,68.24512535,31600,42100,87500,127000
Others,Others,Religion,34100,52000,52.49266862,29700,36500,70900,96400
Others,Others,Sociology,36500,58200,59.45205479,30700,40400,81200,118000
Others,Others,Spanish,34000,53100,56.17647059,31000,40000,76800,96400
"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,62400,114000,82.69230769,43408,94300,143000,142766
Pomona College,California,Liberal Arts,48600,101000,107.81893,43408,63300,161000,142766
Randolph-Macon College,Southern,Liberal Arts,42600,83600,96.24413146,43408,54100,123000,142766
Reed College,Western,Liberal Arts,40500,81100,100.2469136,43408,67400,101000,142766
Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,61100,110000,80.03273322,43408,85500,140000,142766
Rochester Institute of Technology (RIT),Northeastern,Engineering,48900,84600,73.00613497,43408,62100,112000,142766
Siena College,Northeastern,Liberal Arts,45500,85200,87.25274725,43408,58400,129000,142766
Skidmore College,Northeastern,Liberal Arts,41600,74600,79.32692308,43408,42800,147000,142766
Smith College,Northeastern,Liberal Arts,44000,83900,90.68181818,43408,59800,129000,142766
South Dakota School of Mines & Technology,Midwestern,Engineering,55800,93400,67.38351254,43408,81900,122000,142766
St. Olaf College,Midwestern,Liberal Arts,45300,86200,90.28697572,43408,61000,120000,142766
Stevens Institute of Technology,Northeastern,Engineering,60600,105000,73.26732673,43408,81900,138000,142766
Swarthmore College,Northeastern,Liberal Arts,49700,104000,109.2555332,43408,67200,167000,142766
Tennessee Technological University,Southern,Engineering,46200,80000,73.16017316,43408,62600,99500,142766
Thomas Aquinas College,California,Liberal Arts,41500,67500,62.65060241,43408,44600,93100,142766
Union College,Northeastern,Liberal Arts,47200,95800,102.9661017,43408,75200,135000,142766
University of Puget Sound,Western,Liberal Arts,46600,81500,74.89270386,43408,60100,104000,142766
University of Richmond,Southern,Liberal Arts,48600,94600,94.65020576,43408,59400,151000,142766
Ursinus College,Northeastern,Liberal Arts,42100,80000,90.02375297,43408,54300,100000,142766
Vassar College,Northeastern,Liberal Arts,46000,94600,105.6521739,43408,60600,123000,142766
Virginia Polytechnic Institute and State University (Virginia Tech),Southern,Engineering,53500,95400,78.31775701,43408,71400,124000,142766
Washington and Lee University,Southern,Liberal Arts,53600,104000,94.02985075,43408,82800,146000,142766
Wellesley College,Northeastern,Liberal Arts,42800,83500,95.09345794,43408,58600,125000,142766
Wentworth Institute of Technology,Northeastern,Engineering,53000,96700,82.45283019,43408,74000,117000,142766
"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,46500,97900,110.5376344,43408,62500,126000,142766
Whitman College,Western,Liberal Arts,43500,80100,84.13793103,43408,64800,111000,142766
Williams College,Northeastern,Liberal Arts,51700,102000,97.29206963,43408,76400,143000,142766
Wittenberg University,Midwestern,Liberal Arts,39200,78200,99.48979592,43408,54100,131000,142766
Worcester Polytechnic Institute (WPI),Northeastern,Engineering,61000,114000,86.8852459,43408,91200,137000,142766
